,Position,Arousal,Score
370,"[72.45119, 1.366283, -85.61275]",1,0
371,"[72.45156, 1.366858, -85.61249]",1,0
372,"[72.45102, 1.366217, -85.61275]",1,0
373,"[72.45146, 1.366853, -85.61248]",1,0
374,"[72.45094, 1.366194, -85.61274]",1,0
375,"[72.45143, 1.366844, -85.61248]",1,0
376,"[72.4509, 1.366177, -85.61274]",1,0
377,"[72.45142, 1.366835, -85.61247]",1,0
378,"[72.41784, 1.36873, -85.87885]",1,0
379,"[72.42355, 1.36793, -85.75552]",1,0
380,"[72.39198, 1.366264, -85.60772]",1,0
381,"[72.39609, 1.366672, -85.60631]",1,0
382,"[72.39607, 1.366547, -85.6069]",1,0
383,"[72.39579, 1.366143, -85.60695]",1,0
384,"[72.39579, 1.366141, -85.60695]",1,0
385,"[72.39579, 1.366142, -85.60695]",1,0
386,"[72.39579, 1.366136, -85.60695]",1,0
387,"[72.39579, 1.366138, -85.60694]",1,0
388,"[72.39579, 1.366143, -85.60694]",1,0
389,"[72.39579, 1.366145, -85.60694]",1,0
390,"[72.39579, 1.366131, -85.60695]",1,0
391,"[72.39579, 1.366141, -85.60695]",1,0
392,"[72.39579, 1.366134, -85.60695]",1,0
393,"[72.39579, 1.366138, -85.60694]",1,0
394,"[72.39579, 1.366143, -85.60695]",1,0
395,"[72.39579, 1.366141, -85.60695]",1,0
396,"[72.39579, 1.36614, -85.60694]",1,0
397,"[72.36268, 1.368721, -85.87418]",1,0
398,"[72.3666, 1.368, -85.75163]",1,0
399,"[72.4066, 1.366592, -85.6085]",1,0
400,"[72.40556, 1.36695, -85.60838]",1,0
401,"[72.38115, 1.368468, -85.87624]",1,0
402,"[72.29498, 1.368276, -86.67217]",1,0
403,"[72.26008, 1.367864, -86.98222]",1,0
404,"[72.36725, 1.367881, -85.95122]",1,0
405,"[72.16992, 1.362846, -85.65861]",1,0
406,"[72.21014, 1.364644, -85.63074]",1,0
407,"[72.31715, 1.371459, -85.60482]",1,0
408,"[72.33008, 1.365081, -85.60303]",1,0
409,"[72.31921, 1.363322, -85.59913]",1,0
410,"[72.31915, 1.363796, -85.59907]",1,0
411,"[72.31916, 1.363809, -85.59906]",1,0
412,"[72.31916, 1.363809, -85.59906]",1,0
413,"[72.31916, 1.363809, -85.59906]",1,0
414,"[72.31916, 1.363808, -85.59906]",1,0
415,"[72.31916, 1.363809, -85.59906]",1,0
416,"[72.31916, 1.363808, -85.59906]",1,0
417,"[72.31916, 1.363808, -85.59906]",1,0
418,"[72.31916, 1.363809, -85.59906]",1,0
419,"[72.31916, 1.363809, -85.59906]",1,0
420,"[72.31916, 1.363808, -85.59906]",1,0
421,"[72.31916, 1.363809, -85.59906]",1,0
422,"[72.31916, 1.363809, -85.59906]",1,0
423,"[72.31916, 1.363809, -85.59906]",1,0
424,"[72.31916, 1.363809, -85.59906]",1,0
425,"[72.31916, 1.363809, -85.59906]",1,0
426,"[72.31916, 1.36381, -85.59906]",1,0
427,"[72.31916, 1.363808, -85.59906]",1,0
428,"[72.31916, 1.363809, -85.59906]",1,0
429,"[72.31916, 1.363808, -85.59906]",1,0
430,"[72.31916, 1.363809, -85.59906]",1,0
431,"[72.31916, 1.363809, -85.59906]",1,0
432,"[72.31916, 1.36381, -85.59906]",1,0
433,"[72.31916, 1.363809, -85.59906]",1,0
434,"[72.31916, 1.363808, -85.59906]",1,0
435,"[72.31916, 1.363808, -85.59906]",1,0
436,"[72.31916, 1.363809, -85.59906]",1,0
437,"[72.31916, 1.363809, -85.59906]",1,0
438,"[72.31916, 1.363808, -85.59906]",1,0
439,"[72.31916, 1.363809, -85.59906]",1,0
440,"[72.31916, 1.363809, -85.59906]",1,0
441,"[72.31916, 1.363809, -85.59906]",1,0
442,"[72.31916, 1.363808, -85.59906]",1,0
443,"[72.31916, 1.363809, -85.59906]",1,0
444,"[72.31916, 1.363808, -85.59906]",1,0
445,"[72.31916, 1.363809, -85.59906]",1,0
446,"[72.31916, 1.36381, -85.59906]",1,0
447,"[72.31916, 1.36381, -85.59906]",1,0
448,"[72.31916, 1.363808, -85.59906]",1,0
449,"[72.31916, 1.363809, -85.59906]",1,0
450,"[72.31916, 1.363808, -85.59906]",1,0
451,"[72.31916, 1.363809, -85.59906]",1,0
452,"[72.31916, 1.363809, -85.59906]",1,0
453,"[72.31916, 1.363809, -85.59906]",1,0
454,"[72.31916, 1.363809, -85.59906]",1,0
455,"[72.31916, 1.363809, -85.59906]",1,0
456,"[72.31916, 1.363808, -85.59906]",1,0
457,"[72.31916, 1.363809, -85.59906]",1,0
458,"[72.31916, 1.363808, -85.59906]",1,0
459,"[72.31916, 1.363808, -85.59906]",1,0
460,"[72.31916, 1.36381, -85.59906]",1,0
461,"[72.31916, 1.363809, -85.59906]",1,0
462,"[72.31916, 1.363809, -85.59906]",1,0
463,"[72.31916, 1.363809, -85.59906]",1,0
464,"[72.31916, 1.363809, -85.59906]",1,0
465,"[72.31916, 1.363808, -85.59906]",1,0
466,"[72.31916, 1.36381, -85.59906]",1,0
467,"[72.31916, 1.363809, -85.59906]",1,0
468,"[72.31916, 1.363808, -85.59906]",1,0
469,"[72.31916, 1.363808, -85.59906]",1,0
470,"[72.31916, 1.363809, -85.59906]",1,0
471,"[72.31916, 1.363809, -85.59906]",1,0
472,"[72.31916, 1.363808, -85.59906]",1,0
473,"[72.31916, 1.363809, -85.59906]",1,0
474,"[72.31916, 1.363808, -85.59906]",1,0
475,"[72.31916, 1.36381, -85.59906]",1,0
476,"[72.31916, 1.363808, -85.59906]",1,0
477,"[72.31916, 1.363809, -85.59906]",1,0
478,"[72.31916, 1.363809, -85.59906]",1,0
479,"[72.31916, 1.363808, -85.59906]",1,0
480,"[72.31916, 1.363809, -85.59906]",1,0
481,"[72.31916, 1.363808, -85.59906]",1,0
482,"[72.31916, 1.36381, -85.59906]",1,0
483,"[72.31916, 1.363809, -85.59906]",1,0
484,"[72.31916, 1.363809, -85.59906]",1,0
485,"[72.31916, 1.363808, -85.59906]",1,0
486,"[72.31916, 1.363809, -85.59906]",1,0
487,"[72.31916, 1.36381, -85.59906]",1,0
488,"[72.31916, 1.363807, -85.59906]",1,0
489,"[72.31916, 1.363808, -85.59906]",1,0
490,"[72.31916, 1.363809, -85.59906]",1,0
491,"[72.31916, 1.363809, -85.59906]",1,0
492,"[72.31916, 1.363808, -85.59906]",1,0
493,"[72.31916, 1.363809, -85.59906]",1,0
494,"[72.31916, 1.363809, -85.59906]",1,0
495,"[72.31916, 1.363807, -85.59906]",1,0
496,"[72.31916, 1.363809, -85.59906]",1,0
497,"[72.31916, 1.363809, -85.59906]",1,0
498,"[72.31916, 1.363809, -85.59906]",1,0
499,"[72.31916, 1.36381, -85.59906]",1,0
500,"[72.31916, 1.36381, -85.59906]",1,0
501,"[72.31916, 1.363808, -85.59906]",1,0
502,"[72.31916, 1.363809, -85.59906]",1,0
503,"[72.31916, 1.363808, -85.59906]",1,0
504,"[72.31916, 1.363808, -85.59906]",1,0
505,"[72.31916, 1.363808, -85.59906]",1,0
506,"[72.31916, 1.363809, -85.59906]",1,0
