,Position,Arousal,Score
222,"[-24.036218643188477, 1.3890318870544434, 452.82080078125]",0,5.0
223,"[-27.302595138549805, 1.3894554376602173, 457.5363464355469]",0,5.0
224,"[-32.86736297607422, 1.3874943256378174, 467.15789794921875]",0,6.0
225,"[-35.102535247802734, 1.3881510496139526, 470.7611083984375]",0,6.0
226,"[-37.104705810546875, 1.4302878379821777, 473.48773193359375]",0,6.0
227,"[-39.10982131958008, 1.3655166625976562, 475.5069274902344]",0,6.0
228,"[-41.138553619384766, 1.374363660812378, 476.8790588378906]",0,6.0
229,"[-43.36188888549805, 1.3669484853744507, 477.5047912597656]",0,6.0
230,"[-46.2036247253418, 1.3673681020736694, 477.18341064453125]",0,6.0
231,"[-48.86048126220703, 1.3681490421295166, 476.294189453125]",0,6.0
232,"[-51.155067443847656, 1.3679143190383911, 474.844482421875]",0,6.0
233,"[-53.103240966796875, 1.3681071996688843, 472.9623107910156]",0,6.0
234,"[-54.703582763671875, 1.367872953414917, 470.73968505859375]",0,6.0
235,"[-56.23081970214844, 1.373612642288208, 467.6401672363281]",0,6.0
236,"[-57.508880615234375, 1.395539402961731, 464.1136779785156]",0,6.0
237,"[-58.68219757080078, 1.4097309112548828, 460.1794738769531]",0,6.0
238,"[-59.9622917175293, 1.3813576698303223, 455.401123046875]",0,6.0
239,"[-61.463497161865234, 1.388508677482605, 449.2965087890625]",0,6.0
240,"[-62.970149993896484, 1.388623833656311, 443.0728454589844]",0,6.0
241,"[-64.6944351196289, 1.387594223022461, 436.8084411621094]",0,6.0
242,"[-66.60303497314453, 1.3880691528320312, 430.4772033691406]",0,6.0
243,"[-70.02439880371094, 1.3879278898239136, 419.6414489746094]",0,6.0
244,"[-71.55964660644531, 1.3877588510513306, 413.9169921875]",0,6.0
245,"[-72.3030776977539, 1.3875890970230103, 408.0184020996094]",0,6.0
246,"[-72.13957977294922, 1.3876798152923584, 400.7223815917969]",0,6.0
247,"[-70.13870239257812, 1.3880701065063477, 384.1363830566406]",0,6.0
248,"[-68.71672058105469, 1.3876309394836426, 376.30169677734375]",0,6.0
